"Time [h]","CentralMeasure [mg/l]"
0.06732118,0.0001093355
0.2019635,0.01259078
0.4712482,0.02397703
0.8078541,0.02923173
1.077139,0.03470557
1.279102,0.0238657
1.481066,0.02309881
2.019635,0.03010488
3.029453,0.02375221
3.97195,0.02134131
5.991585,0.01925641
8.01122,0.01760946
12.05049,0.01387762
16.02244,0.01069338
24.03366,0.0067335
32.04488,0.004634934
48.06732,0.001313715
