"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
3.075449,0.004116141,NaN
4.144219,0.04417089,NaN
4.893221,0.04544954,0.01725016
5.948443,0.04601353,0.02067186
7.014443,0.04458154,0.01625217
8.014857,0.04129658,0.01639474
9.082397,0.03957944,0.01496948
10.06664,0.03928846,0.01297259
11.96417,0.03785153,0.0136859
24.05658,0.02423591,0.01111962
31.89192,0.01506513,0.01026465
47.95612,0.007841392,0.006130094
