"Time [h]","CentralMeasure [mg/l]"
1.189674,0.001847552
2.05319,0.01226973
2.964828,0.02048633
3.868445,0.02282053
4.78543,0.02454207
6.015205,0.02442737
6.982985,0.0238208
8.996074,0.01905424
10.10822,0.01808095
11.98764,0.01944098
13.85903,0.01491861
16.04322,0.01481001
19.95979,0.01030069
24.18914,0.01020514
30.35406,0.008896446
48.46117,0.00398751
71.97393,0.001318959
