"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
1.70383,0.0741209,0.041311
3.812199,0.08314773,0.03641618
5.926214,0.06544022,0.03468389
7.867177,0.06718691,0.03380412
9.729802,0.04712703,0.02958892
11.8441,0.03643919,0.02030983
23.84036,0.01905604,0.01196538
32.03614,0.01138722,0.007150673
