"Time [h]","CentralMeasure [mg/l]"
0.8187123,0.0003896104
1.926361,0.004441558
2.920221,0.007422078
3.964742,0.009564934
5.923286,0.009097403
7.875818,0.007305195
9.990854,0.005318182
11.944,0.003662338
23.97448,0.002376623
36.00539,0.001188312
