"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
23,0.07175161,0.03221392
24.5,0.09997389,0.03906817
25.5,0.1152476,0.05277773
26.5,0.109537,0.03769838
27.5,0.1051229,0.03358372
29.5,0.1022517,0.06237263
31.5,0.1198463,0.06511644
47.5,0.09014,0.03014
