"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
3.013712,0.001550317,NaN
4.126976,0.01936448,NaN
4.972509,0.03076475,0.01739318
5.9098,0.03917059,0.01653866
6.813837,0.03973548,0.01112097
7.972365,0.03516648,0.01140611
8.951994,0.03573093,0.01012208
10.0103,0.03572464,0.0109784
12.059,0.03428681,0.0102642
24.00793,0.01924638,0.007128987
31.91425,0.01093057,0.006842948
47.90055,0.004135001,0.003421698
