"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
1.94532,0.001303194,NaN
2.863262,0.003935465,NaN
3.924646,0.01683909,NaN
4.920642,0.02666165,0.02153275
5.78244,0.0276002,0.02119872
7.084379,0.02693038,0.01887205
7.89665,0.02517514,0.01654364
9.975941,0.03065364,0.01743577
12.21282,0.02820133,0.01674451
23.90437,0.01679123,0.009106171
32.1323,0.009973103,0.005004926
48.04176,0.003230409,0.0021324
