"TIME [h]","Value [mg/l]"
1,0.003373962
2,0.009831309
3,0.01178604
4,0.01545388
6,0.01583998
8,0.01417018
10,0.01215781
12,0.00975464
16,0.008667175
24,0.005708517
32,0.004707885
48,0.00246263
