"Time [h]","CentralMeasure [µmol/l]"
168.7412,13.96047
169.918,15.47668
170.271,17.51505
170.8594,21.7493
171.2124,14.39903
172.1538,12.85516
173.9189,10.45976
176.0371,6.853807
182.1561,3.066646
191.8055,1.200008
