"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
216.0667,0.06757916,NaN
216.9463,0.0693154,NaN
218.0031,0.09222464,NaN
218.9487,0.1031031,NaN
220.0355,0.1082186,NaN
221.0083,0.108758,NaN
221.9108,0.1112171,NaN
222.998,0.1153706,NaN
223.9951,0.1127853,NaN
225.019,0.1010633,NaN
226.0824,0.1068987,NaN
228.035,0.08946102,NaN
230.0024,0.09390796,NaN
232.0223,0.0824863,NaN
236.1069,0.06349339,NaN
239.9292,0.06348272,NaN
