"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
168,0.03135948,0.006566868
169,0.03219959,0.01372944
170,0.02714881,0.01431375
171,0.02667606,0.0158139
172,0.02866111,0.01121983
173,0.03349379,0.02199243
174,0.03374518,0.02031487
175,0.03823048,0.01282332
176,0.03667966,0.020838
177,0.03695718,0.02230858
178,0.03649748,0.01719003
180,0.03305499,0.02321
182,0.03884689,0.0192079
184,0.03648246,0.02037622
188,0.02963665,0.0107452
192,0.03308699,0.01935813
