"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
1.903525,0.002025748,NaN
3.020104,0.01105981,NaN
3.959451,0.03142092,NaN
5.017142,0.05276957,0.02006386
6.005809,0.05327482,0.02215059
7.001765,0.05025715,0.02090524
8.006834,0.04355575,0.01708052
10.05422,0.04113442,0.01564371
12.04795,0.0359908,0.01453729
24.04397,0.02100409,0.01002308
31.9443,0.01386051,0.008426186
48.07791,0.004843048,0.003419929
