"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
24.5,0.1515789,0.1336801
25.5,4.345263,2.406241
26,5.170527,1.381361
26.5,4.8,0.8020804
27,4.547369,0.8020804
27.5,4.294737,1.024881
28,3.924211,0.8020804
29,3.553684,0.9357604
30,3.031579,0.8912004
31,2.526316,0.8020804
33,1.953684,0.8912004
49,0.2694737,0.2673601
