"Time [h]","CentralMeasure [mg/l]"
0,0
1.041736,0.001068395
2.013587,0.004999647
3.051589,0.008358154
3.962656,0.009570537
5.004975,0.01028144
5.98441,0.009561496
7.94223,0.008765619
10.02978,0.008398501
11.989,0.006743944
15.96846,0.006010583
24.05851,0.004113937
32.01777,0.002432545
47.9335,0.0007871256
