"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
648,0.1993451,0.1335376
649,0.1973895,0.1515708
650,0.1957988,0.1449193
651,0.1945528,0.1367113
652,0.2330974,0.1565898
653,0.2325882,0.1516772
654,0.2575144,0.1647978
655,0.2577592,0.1910998
656,0.2675627,0.1664607
657,0.2346282,0.1447711
658,0.2540245,0.1499991
660,0.2685212,0.1631653
662,0.2494837,0.1631349
664,0.2591805,0.1597636
668,0.2420757,0.1531729
672,0.2216345,0.1451473
