"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
1.863472,0.1318391,0.06113485
3.719322,0.1414907,0.01174143
5.911393,0.16591,0.01377156
7.855886,0.1364946,0.007450955
9.634384,0.09406099,0.01432226
11.82871,0.09571677,0.0175476
23.89908,0.0955747,0.01166854
31.92109,0.07787769,0.01265952
47.97219,0.03320161,0.008973529
71.78574,0.01718477,0.002793078
