"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
408,0.1054054,0.05933146
409,0.1045346,0.06592216
410,0.1176642,0.07748628
411,0.1112738,0.07248246
412,0.1100278,0.06100954
413,0.1253748,0.07252805
414,0.1322411,0.06094874
415,0.1258438,0.05440364
416,0.1227625,0.05931626
417,0.118951,0.05602092
418,0.1121922,0.05766859
420,0.114882,0.05931626
422,0.124572,0.06593736
424,0.113258,0.06425928
428,0.1086798,0.06096394
432,0.1166317,0.07748628
