"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
1.209513,0.000491603,0.0006839695
2.232296,0.004296184,0.002137404
3.257105,0.007609161,0.002372519
4.170229,0.01002443,0.00301374
6.191838,0.009447328,0.002265649
8.218467,0.007651908,0.002158779
10.07281,0.005664122,0.002158779
12.2143,0.003996947,0.001774046
24.04765,0.002436641,0.001303817
35.99524,0.001154199,0.0007053435
